date,series_code,series_name,value,source
2021-12-14,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-12-15,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-12-16,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-12-17,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-12-20,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-12-21,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-12-22,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-12-23,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-12-24,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-12-29,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-12-30,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2021-12-31,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-04,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-05,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-06,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-07,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-10,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-11,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-12,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-13,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-14,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-17,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-18,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-19,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-20,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-21,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-24,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-25,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-26,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-27,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-28,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-01-31,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-01,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-02,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-03,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-04,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-07,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-08,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-09,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-10,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-11,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-14,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-15,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-16,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-17,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-18,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-21,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-22,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-23,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-24,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-25,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-02-28,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-03-01,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-03-02,V39079,Target overnight rate,0.25,Bank of Canada Valet API
2022-03-03,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-04,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-07,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-08,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-09,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-10,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-11,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-14,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-15,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-16,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-17,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-18,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-21,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-22,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-23,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-24,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-25,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-28,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-29,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-30,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-03-31,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-04-01,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-04-04,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-04-05,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-04-06,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-04-07,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-04-08,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-04-11,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-04-12,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-04-13,V39079,Target overnight rate,0.5,Bank of Canada Valet API
2022-04-14,V39079,Target overnight rate,1.0,Bank of Canada Valet API
2022-04-15,V39079,Target overnight rate,1.0,Bank of Canada Valet API
